COUNTRY,MOU SIGNATORY,"MOU Signatory '?' or 'n'
child of a MOU parent ?
  - NO = not child
  - CHILD OF XXX",Organization,ROR Organization Name,ROR ID,IDENTIFY PARENT ROR or 'NEW',GBIF PUBLISHER NAME,GBIF PUBLISHER ID,ADDITIONAL GBIF PUBLISHER IDs,CHECKED,COMMENTS,totalRecords,preservedSpecimen,fossilSpecimen,unknown,livingSpecimen,materialSample,humanObservation,observation,machineObservation ,literature
Austria,y,,Natural History Museum Vienna,Naturhistorisches Museum,01tv5y993,,"Natural History Museum, Vienna - Herbarium W",4e11d750-bafb-11d9-8e53-b8a03c50a862,,FALSE,,300548,295604,0,0,0,0,4944,0,0,0
Austria,n,,Biology Centre of Upper Austria State Museums,,,,Biologiezentrum Linz Oberoesterreich,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,,FALSE,"Parent: Upper Austrian State Museums. Siblings: State Gallery Linz; Linz Castle Museum. The Upper Austrian State Museum is a cultural institution of the State of Upper Austria . It consists of three main locations in Linz - the FC - Francisco Carolinum, the Castle Museum and the Biology Center - as well as several museums, memorials and collections throughout the state of Upper Austria. ",2243034,0,0,2243034,0,0,0,0,0,0
Belgium,y,,Meise Botanic Garden,Meise Botanic Garden,01h1jbk91,,Botanic Garden Meise,a344ee9f-f1b7-4761-be2c-58ee6d741395,,FALSE,,2988983,1816141,0,2677,22580,9040,1132011,0,6534,0
Belgium,y,,Royal Belgian Institute of Natural Sciences,Royal Belgian Institute of Natural Sciences,02y22ws83,,Royal Belgian Institute of Natural Sciences,e88c96a3-5884-4e51-a580-e417ca4c9eed,,FALSE,,528813,522857,5350,0,0,0,606,0,0,0
Belgium,y,,Royal Museum for Central Africa,Royal Museum for Central Africa,001805t51,,"Royal Museum for Central Africa, Belgium",575c52b0-a742-11db-a6ff-b8a03c50a862,,FALSE,,15544,15363,0,181,0,0,0,0,0,0
Belgium,y,,Flemish Research Institute for Nature and Forest (INBO),Research Institute for Nature and Forest,00j54wy13,,Research Institute for Nature and Forest (INBO),1cd669d0-80ea-11de-a9d0-f1765f95f18b,,FALSE,,374530,2126,0,0,0,0,372404,0,0,0
Belgium,y,,Royal Zoological Society of Antwerp,Royal Zoological Society of Antwerp,00ed5y156,,,,,FALSE,,,,,,,,,,,
Belgium,y,,"Université Libre de Bruxelles, Herbarium",Université Libre de Bruxelles,01r9htc13,,Université Libre de Bruxelles (ULB),https://www.gbif.org/publisher/576f00f2-c26c-41f7-991e-a37e07cbd3ec,,TRUE,,,,,,,,,,,
Belgium,y,,University of Namur,University of Namur,03d1maw17,,Université de Namur Département de Biologie,96fbb73b-f951-4659-8f8b-fa60624a9c28,,FALSE,,48387,48387,0,0,0,0,0,0,0,0
Belgium,y,,Flanders Marine Institute,Flanders Marine Institute,0496vr396,,Flanders Marine Institute,2089ce96-4fb5-4a20-999c-3ccf45a27a4d,,FALSE,,22828,0,0,18337,0,0,4491,0,0,0
Belgium,y,,CETAF,,0058ctf29,,,,,FALSE,,,,,,,,,,,
Bulgaria,y,,"Bulgarian Academy of Sciences, Institute of Biodiversity and Ecosystem Research",Institute of Biodiversity and Ecosystem Research,03eywck07,,,,,FALSE,,,,,,,,,,,
Bulgaria,y,,National Museum of Natural History,National Museum of Natural History,04a4v0j95,,,,,FALSE,,,,,,,,,,,
Czech Republic,y,,"Charles University, Faculty of Science",Charles University,024d6js02,,,,,FALSE,,,,,,,,,,,
Czech Republic,y,,"Institute of Botany, The Czech Academy of Sciences",Institute of Botany,03qqnc658,,,,,FALSE,,,,,,,,,,,
Czech Republic,y,,"Institute of Vertebrate Biology, The Czech Academy of Sciences, Czech Republic",Institute of Vertebrate Biology,05bcgdd94,,,,,FALSE,,,,,,,,,,,
Czech Republic,y,,"National Museum, Prague",Národní muzeum,04z6gwv56,,National Museum in Prague,17e8fde5-9144-49c8-a893-87138e95b0b7,,FALSE,,10521,1996,0,8525,0,0,0,0,0,0
Czech Republic,y,,Nature Conservation Agency of the Czech Republic,Nature Conservation Agency of the Czech Republic,036ak4h42,,,,,FALSE,,,,,,,,,,,
Czech Republic,y,,Masaryk University,Masaryk University,02j46qs45,,"Masaryk University, Department of Botany and Zoology",9a4467a2-eccd-4aa7-bb6d-aea3a31f2a2c,,FALSE,,149789,149703,0,0,0,0,86,0,0,0
Czech Republic,n,,CENIA - Czech Environmental Information Agency,Czech Environmental Information Agency,00xh22n12,,,,,FALSE,,,,,,,,,,,
Denmark,Y,,Natural History Museum of Denmark,Natural History Museum of Denmark,,035b05819,Natural History Museum of Denmark,2e7df380-8356-4533-bcb3-5459e23c794e,,FALSE,used to have its own ROR: 040ck2b86,99346,46837,0,0,0,50161,2348,0,0,0
Denmark,?,,"Zoological Museum, Natural History Museum of Denmark",,,,"Zoological Museum, Natural History Museum of Denmark",456058db-f70b-4005-97ad-e08570cf0c56,,FALSE,Nowadays part of the Natural History Museum of Denmark. No longer an independent entity and should be removed from the list. ,202598,153906,0,0,0,0,48692,0,0,0
Denmark,?,,"Botanical Garden & Museum, Natural History Museum of Denmark",,,,"Botanical Garden & Museum, Natural History Museum of Denmark",ba482b53-07ed-4ca4-8981-5396d1a8a6fc,,FALSE,Nowadays part of the Natural History Museum of Denmark. No longer an independent entity and should be removed from the list. ,216534,206446,0,230,52,814,1053,7939,0,0
