Publisher,Total,Basis of record invalid,Continent country mismatch,Continent derived from coordinates,Continent invalid,Coordinate invalid,Coordinate out of range,Coordinate reprojected,Coordinate reprojection failed,Coordinate reprojection suspicious,Coordinate rounded,Country coordinate mismatch,Country derived from coordinates,Country invalid,Country mismatch,Depth min max swapped,Depth non numeric,Depth not metric,Depth unlikely,Elevation min max swapped,Elevation non numeric,Elevation not metric,Elevation unlikely,Geodetic datum assumed wgs84,Geodetic datum invalid,Identified date invalid,Identified date unlikely,Modified date invalid,Modified date unlikely,Multimedia date invalid,Multimedia uri invalid,Presumed negated latitude,Presumed negated longitude,Presumed swapped coordinate,Recorded date invalid,Recorded date mismatch,Recorded date unlikely,References uri invalid,Taxon match fuzzy,Taxon match higherrank,Taxon match none,Type status invalid,Zero coordinate,Coordinate precision invalid,Coordinate uncertainty meters invalid,Individual count invalid,Interpretation error,Individual count conflicts with occurrence status,Occurrence status inferred from individual count,Occurrence status unparsable,Georeferenced date invalid,Georeferenced date unlikely,Ambiguous collection,Ambiguous institution,Collection match fuzzy,Collection match none,Institution collection mismatch,Institution match fuzzy,Institution match none,Occurrence status inferred from basis of record,Different owner institution,Taxon match aggregate,Footprint srs invalid,Footprint wkt invalid,Accepted name missing,Accepted name not unique,Accepted name usage id invalid,Alt identifier invalid,Backbone match none,Basionym author mismatch,Bib reference invalid,Chained synoym,Classification not applied,Classification rank order invalid,Conflicting basionym combination,Description invalid,Distribution invalid,Homonym,Multimedia invalid,Name parent mismatch,No species,Nomenclatural status invalid,Original name derived,Original name not unique,Original name usage id invalid,Orthographic variant,Parent cycle,Parent name not unique,Parent name usage id invalid,Partially parsable,Published before genus,Rank invalid,Relationship missing,Scientific name assembled,Species profile invalid,Taxonomic status invalid,Taxonomic status mismatch,Unparsable,Vernacular name invalid,Backbone match aggregate
Natural History Museum of Luxembourg,1905576,0,0,0,0,16,0,0,0,0,62,0,1810084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3905,14066,2865,1137,4509,0,0,0,0,0,0,0,0,0,0,0,46486,22446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tromsø Museum,605937,0,0,0,0,441,75,97199,0,0,1192,1091,13981,0,0,0,0,0,0,0,2119,0,0,0,75332,0,2,0,0,0,0,15,37,48,8674,0,55,0,325,2331,10814,0,43,0,0,113,0,0,160205,11382,0,0,0,0,193340,8248,0,8248,7669,790,2168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Royal Botanic Gardens, Kew",2339642,0,0,0,0,0,1,0,0,0,0,2833,5686,1351,187,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0,0,750,334,99,201619,0,6,0,22387,25602,4290,42897,102,0,0,0,0,0,0,0,0,0,0,0,849627,166309,0,1015543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naturalis Biodiversity Center,11642979,784,0,0,1063,4,0,0,0,0,20792,30531,17203,57796,0,0,0,0,0,0,0,0,0,0,0,0,131,0,54,0,0,1725,3082,99,5,0,2619,0,161632,713383,80856,26,23,0,0,17,0,0,1920216,0,0,0,0,2,30078,82522,5552,118152,8387238,7394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natural History Museum of Denmark,642266,0,0,0,68343,0,3,0,0,0,38253,1016,24347,34558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,252,1,62759,0,40,0,4580,11803,34665,33,32,0,0,0,0,0,9413,0,0,0,0,535,76800,67119,163063,44478,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senckenberg Society for Nature Research,3210415,0,0,0,0,0,0,0,0,0,277203,29160,64526,29561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,1600,216,191382,0,724,0,22267,100708,43355,13908,704,0,0,0,0,0,0,0,0,0,0,0,166978,830775,150993,1148746,137126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTNU University Museum,3639845,0,0,0,938,2286,5,77796,21,0,633077,776,39194,70,0,0,0,0,0,0,0,0,0,0,911,0,0,0,42,0,0,13,1602,52,79,0,11,0,5946,20986,8401,2,154,0,0,0,0,13,352477,0,0,0,0,0,3158,88733,1155329,1247220,550,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Belgian Institute of Natural Sciences,2415055,0,0,0,0,0,0,801,0,0,117859,19000,29374,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,882,47,6,0,930,0,23619,136242,8573,998636,2,0,0,0,0,0,9333,0,0,0,0,0,0,9337,0,9337,1049554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"National Museum of Natural History and Science, University of Lisbon (MUHNAC – Ulisboa)",177478,0,0,0,5,17,67,0,0,0,4009,12,5355,83,0,0,134,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,16,694,1208,48,6,0,603,716,0,12,0,0,0,846,0,0,42645,0,0,0,0,0,0,45469,0,45469,28850,0,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gothenburg Natural History Museum,297716,0,0,0,1503,0,0,0,0,0,53,31,0,4811,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,3,0,0,0,15,0,2179,2727,40,11,0,0,0,0,0,0,0,0,0,0,0,0,0,87236,55816,143052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Museum for Central Africa,41377,0,0,0,0,23,0,0,0,0,346,15,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,4,0,61,1011,56,0,0,1540,0,0,0,0,3763,0,0,0,0,0,0,1078,14285,15363,3763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botanical Garden of the University of Coimbra (JBUC),126265,0,0,0,0,0,27,0,0,0,10586,828,2,1158,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,41,0,0,0,3,0,1617,7349,241,70,0,0,0,0,0,0,0,0,0,0,0,0,104336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Museum of Natural Sciences (CSIC-MNCN),803056,0,0,0,61032,0,0,0,0,0,49743,22,7,132,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,586,0,0,0,3904,6604,8,232,0,29994,0,0,0,0,17181,0,0,0,0,0,0,316726,0,316726,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonian Museum of Natural History,1134,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,108,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natural History Museum - University of Oslo,3597846,0,0,0,1179,14063,184,228146,0,0,764,8568,40988,641,0,0,0,0,0,0,0,0,0,0,8596,0,94,0,0,1,0,35,1262,83,85786,0,75,0,9057,44413,13226,4,7550,10633,0,88,0,0,543504,0,0,0,0,25203,579274,186204,1407569,378874,1691,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natural History Museum Rotterdam,16237,0,0,0,0,3,0,0,0,0,1,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,991,15201,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bavarian Natural History Collections,1868359,0,0,0,0,0,2,0,0,0,266211,2786,23455,7079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,209,156,125385,0,63,0,37161,134266,5566,14,4,0,0,0,0,0,0,0,0,0,0,31829,0,704450,0,485578,44058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Université de Rennes 1,91093,0,0,0,1207,0,0,0,0,0,0,0,0,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,63,0,2146,29967,251,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Masaryk University,340925,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,82,0,0,0,1262,1710,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168932,0,168932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Natural History and Science Museum, University of Porto (MHNC – UP)",22658,0,0,0,0,0,0,0,0,0,4538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0,0,0,6030,0,0,0,0,2216,0,0,0,0,0,0,0,0,0,9837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flemish Research Institute for Nature and Forest (INBO),178872,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13611,0,0,0,2131,0,546,0,0,0,0,2,13,0,0,0,0,0,0,0,101081,0,0,0,0,0,0,27328,35,27363,2126,0,4595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Universidad de Navarra (UNAV),1583153,0,0,0,0,3,0,268678,0,0,15268,1,0,0,0,0,0,0,0,0,0,0,0,0,198944,0,0,0,0,0,0,0,0,0,64102,0,54,0,547,12329,0,0,0,0,0,558,0,0,249699,0,0,0,0,0,0,386010,0,386010,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finnish Museum of Natural History - LUOMUS,504995,0,0,0,0,0,0,0,0,0,0,7482,11629,32314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,275903,157495,20117,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flanders Marine Institute,962,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meise Botanic Garden,1948175,0,0,0,0,0,0,0,0,0,326,5261,192,30718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0,0,1843,497,77,309,72,0,0,17502,53288,12244,550,1441,0,0,0,0,0,0,0,0,0,0,0,0,1819684,0,3703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centre de coopération internationale en recherche agronomique pour le développement,708318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39437,0,0,0,0,0,0,0,0,1225,2634,137679,0,0,0,0,0,0,0,0,0,0,0,0,0,170541,86746,0,257287,12769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarhus University,1530,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botanic Garden and Botanical Museum Berlin,1813407,8,0,0,0,0,84,0,0,0,236155,4185,754,5748,0,0,0,0,0,0,110,0,0,0,0,0,6,0,0,0,0,44,316,829,24802,0,26,0,8848,27219,8054,312,0,0,0,0,0,0,0,0,0,0,0,182,0,680604,47689,728293,39139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Botanic Garden of Madrid (CSIC-RJB),2200145,0,0,0,8937,4539,318,1,0,0,43809,2399,283,4162,1549,0,0,0,0,0,0,0,0,0,8537,0,12,0,0,0,0,431,1299,290,59541,11,871,0,17336,37798,3013,586,58,1,0,0,0,0,112028,0,0,0,0,0,761311,184856,0,946167,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Museum of Natural History,9795327,0,0,0,30522,18321,205,0,0,0,32,56270,30863,88431,29334,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1031,1237,310,1846,5,5547,0,71490,562190,342958,79589,318,21791,0,0,0,97,854221,45135,0,0,0,0,6294688,0,13382,1244026,3,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swedish Museum of Natural History,714027,0,0,0,5293,0,0,0,0,0,10175,56,428,1026,0,0,0,0,0,0,0,0,0,0,55,0,11,0,0,0,0,8,398,0,0,0,4,0,19703,69862,233,5844,0,3429,0,0,0,0,55061,0,0,0,0,433848,54246,0,0,54246,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stichting De MuseumFabriek,9937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1914,166,0,0,0,0,8,0,0,3917,0,0,0,0,0,0,0,0,0,3925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biodiversity Unit, University of Oulu",122331,0,0,0,0,0,0,0,0,0,0,211,77,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,132,10,0,13,0,2194,156,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23180,36450,59630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Open Science Centre / Museum, University of Jyväskylä",345539,0,0,0,7,25,6,48789,0,0,1274,127,66,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,4,0,721,866,278,0,0,43463,0,65,0,0,42662,2793,0,0,0,0,0,44621,57563,102184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Université de Strasbourg,151870,0,0,0,24,0,0,0,0,0,25824,17,32028,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3768,0,10179,0,8,0,578,396,4142,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoological Research Museum Alexander Koenig,219418,0,0,0,0,0,0,0,0,0,37139,396,30,453,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,24,61,63,9576,0,19,0,1737,8480,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12242,67677,79919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"National Museum, Prague",2648,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,49,182,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin Natural History Museum,2200870,0,0,0,0,0,0,0,0,0,0,1032,267828,46,0,0,0,0,0,0,0,0,0,0,6319,0,0,0,0,0,0,143,92,12,5217,0,0,0,11403,246556,42469,11627,0,0,0,0,0,0,0,0,0,0,0,0,0,768081,2970,771051,66024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stichting De Bastei (Natuurmuseum Nijmegen),82685,0,0,0,0,0,0,0,0,0,7129,12,6622,2427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,68,185,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8330,0,24786,33116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Amsterdam,2874,0,0,0,0,0,0,0,0,0,79,55,26,41,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,16,29,1,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Institut Recherche et Développement,56248,0,0,0,6406,0,0,0,0,0,439,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,5349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
